village,geo_x,geo_y,geographic_position,geographic_group,median_unwrapped_angle_deg,median_pair_distance,pair,first_vowel,second_vowel
ankarsrum,149.0,456.0,94.43409687486621,Centre,-99.50184700465226,31.649218142602436,ʉ̟ː->øː,ʉ̟ː,øː
anundsjo,182.0,230.0,322.74929689041943,North,-120.60265060345611,22.354899492694027,ʉ̟ː->øː,ʉ̟ː,øː
are,89.0,227.0,309.8163893481515,North,-113.47363945056426,42.60246646018686,ʉ̟ː->øː,ʉ̟ː,øː
arjeplog,171.0,122.0,427.2821082142336,North,-142.29943495091015,28.054400041465993,ʉ̟ː->øː,ʉ̟ː,øː
arstad,70.0,485.0,52.36353118905221,South,-96.39228296856552,14.115776600258323,ʉ̟ː->øː,ʉ̟ː,øː
arsunda,156.0,343.0,206.96864741095214,North,-121.45546808886829,43.03045712635923,ʉ̟ː->øː,ʉ̟ː,øː
asby,125.0,446.0,100.186736530837,Centre,-72.38640428416838,18.544918521109736,ʉ̟ː->øː,ʉ̟ː,øː
aspas,112.0,229.0,311.77528251009113,North,-121.2587317211229,29.138906434351924,ʉ̟ː->øː,ʉ̟ː,øː
bara,79.0,539.0,0.6950911219785691,South,-133.940414751675,23.076677907125458,ʉ̟ː->øː,ʉ̟ː,øː
bengtsf,62.0,401.0,133.76174405913517,Centre,-138.24031996038343,17.56332429622634,ʉ̟ː->øː,ʉ̟ː,øː
berg,112.0,252.0,289.11343963427134,North,-84.62963460999615,23.658259547323514,ʉ̟ː->øː,ʉ̟ː,øː
bjurholm,197.0,211.0,344.0326593930225,North,-114.84509951185245,19.51745690410216,ʉ̟ː->øː,ʉ̟ː,øː
boda,163.0,475.0,78.10530644374003,Centre,-145.02753851418075,18.025151278674144,ʉ̟ː->øː,ʉ̟ː,øː
bredsattra,158.0,489.0,63.4569046509324,South,-138.7984172703439,26.77835147226072,ʉ̟ː->øː,ʉ̟ː,øː
broby,99.0,510.0,32.68566535202928,South,-50.66268998242006,23.06989135425257,ʉ̟ː->øː,ʉ̟ː,øː
burseryd,84.0,478.0,61.65247618276582,South,-96.58872297629496,13.89950485989474,ʉ̟ː->øː,ʉ̟ː,øː
burtrask,222.0,177.0,381.8039577688209,North,-134.6200858589934,26.623978368635136,ʉ̟ː->øː,ʉ̟ː,øː
dalby,82.0,336.0,201.22302887742558,North,-133.10553593457,19.235487701628454,ʉ̟ː->øː,ʉ̟ː,øː
floby,85.0,439.0,100.24992663283506,Centre,-139.86902854162153,15.833224526127822,ʉ̟ː->øː,ʉ̟ː,øː
frandef,63.0,423.0,112.25604601246488,Centre,-116.51508698971335,18.76168454309746,ʉ̟ː->øː,ʉ̟ː,øː
frillesas,58.0,470.0,65.09282618043753,South,-60.41896302522157,23.28560991817513,ʉ̟ː->øː,ʉ̟ː,øː
grangarde,119.0,354.0,189.80902415725896,North,-150.08460125858784,34.09319541925959,ʉ̟ː->øː,ʉ̟ː,øː
